country,spending
New Zealand,2232000000
Japan,1456000000
Hong Kong,880000000
Singapore,1133000000
Malaysia,639000000
Indonesia,1054000000
Taiwan,921000000
Thailand,442000000
Vietnam,830000000
Philippines,553000000
Korea,1573000000
China,9195000000
India,1806000000
Other Asia,1281000000
United States of America,2308000000
Canada,626000000
United Kingdom,2447000000
Germany,662000000
Scandinavia,343000000
France,779000000
Italy,382000000
Netherlands,207000000
Switzerland,230000000
